"filename", "language", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "XML", "JSON with Comments", "Markdown", "Properties", "CSS", "comment", "blank", "total"
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(auth)_sign-in_page_tsx_cd41178b._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(auth)_sign-up_page_tsx_32043d71._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(auth)_sign-up_page_tsx_5f6d4cb5._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(auth)_sign-up_page_tsx_63e67fcb._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(auth)_sign-up_page_tsx_67451fcf._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(auth)_sign-up_page_tsx_6d129a8b._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(auth)_sign-up_page_tsx_a2230d5f._.js", "JavaScript", 0, 779, 0, 0, 0, 0, 0, 0, 0, 2, 3, 784
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(auth)_sign-up_page_tsx_b9ddc2ee._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_chat_[id]_page_tsx_682d07d1._.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 3, 47
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_chat_[id]_page_tsx_8b968e22._.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_friends_add_page_tsx_ead67305._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_layout_tsx_04a64ba7._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_layout_tsx_6fea329b._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_layout_tsx_7f748c8d._.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_notifications_page_tsx_34594455._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_notifications_page_tsx_6e9819bd._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_notifications_page_tsx_8b968e22._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\static\chunks\app_(protected)_(DashBoard)_page_tsx_34594455._.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
