"filename", "language", "JSON", "TypeScript", "Markdown", "JSON with Comments", "JavaScript", "XML", "Properties", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-in\page\app-build-manifest.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-in\page\app-paths-manifest.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-in\page\build-manifest.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-in\page\next-font-manifest.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-in\page\react-loadable-manifest.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-in\page\server-reference-manifest.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-in\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-up\page.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-up\page\app-build-manifest.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-up\page\app-paths-manifest.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-up\page\build-manifest.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-up\page\next-font-manifest.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-up\page\react-loadable-manifest.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-up\page\server-reference-manifest.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(auth)\sign-up\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(homePage)\page.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(homePage)\page\app-build-manifest.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(homePage)\page\app-paths-manifest.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(homePage)\page\build-manifest.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(homePage)\page\next-font-manifest.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(homePage)\page\react-loadable-manifest.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
